checkpoint_id,eval_task_id,k_value,accuracy,loss,num_adapt_steps,adapt_lr,num_examples_used
der_seq-cifar100_3,9,1,2.4,0.19087119340896608,5,0.01,10
der_seq-cifar100_3,9,2,4.3,0.18323117113113405,5,0.01,20
der_seq-cifar100_3,9,5,4.1000000000000005,0.13935740804672242,5,0.01,64
der_seq-cifar100_3,9,10,14.299999999999999,0.09562093496322632,5,0.01,128
der_seq-cifar100_4,0,0,76.6,0.08173766624927521,0,,0
der_seq-cifar100_4,0,1,77.3,0.046745566189289094,5,0.01,10
der_seq-cifar100_4,0,2,79.5,0.04087110668420792,5,0.01,20
der_seq-cifar100_4,0,5,81.0,0.028373096644878387,5,0.01,64
der_seq-cifar100_4,0,10,77.7,0.024874468356370926,5,0.01,128
der_seq-cifar100_4,1,0,57.599999999999994,0.0940337107181549,0,,0
der_seq-cifar100_4,1,1,69.0,0.05692411041259766,5,0.01,10
der_seq-cifar100_4,1,2,70.7,0.048232919573783874,5,0.01,20
der_seq-cifar100_4,1,5,78.5,0.030140099585056306,5,0.01,64
der_seq-cifar100_4,1,10,71.8,0.03439289957284927,5,0.01,128
der_seq-cifar100_4,2,0,63.9,0.07774514293670655,0,,0
der_seq-cifar100_4,2,1,66.9,0.051965298891067505,5,0.01,10
der_seq-cifar100_4,2,2,68.5,0.04807557481527328,5,0.01,20
der_seq-cifar100_4,2,5,73.5,0.03694949322938919,5,0.01,64
der_seq-cifar100_4,2,10,73.6,0.03637714743614197,5,0.01,128
der_seq-cifar100_4,3,0,59.0,0.07415153193473815,0,,0
der_seq-cifar100_4,3,1,68.5,0.0500960578918457,5,0.01,10
der_seq-cifar100_4,3,2,74.3,0.035648523062467574,5,0.01,20
der_seq-cifar100_4,3,5,76.6,0.030371939480304717,5,0.01,64
der_seq-cifar100_4,3,10,74.1,0.03684276431798935,5,0.01,128
der_seq-cifar100_4,4,0,85.8,0.018215338304638864,0,,0
der_seq-cifar100_4,4,1,84.6,0.01890700963139534,5,0.01,10
der_seq-cifar100_4,4,2,83.0,0.020028863102197647,5,0.01,20
der_seq-cifar100_4,4,5,85.5,0.017774752110242844,5,0.01,64
der_seq-cifar100_4,4,10,87.8,0.016505008451640605,5,0.01,128
der_seq-cifar100_4,5,0,0.0,0.3021910572052002,0,,0
der_seq-cifar100_4,5,1,2.5,0.20366307306289672,5,0.01,10
der_seq-cifar100_4,5,2,3.2,0.19448743152618408,5,0.01,20
der_seq-cifar100_4,5,5,6.0,0.13730641937255858,5,0.01,64
der_seq-cifar100_4,5,10,15.9,0.09602690935134887,5,0.01,128
der_seq-cifar100_4,6,0,0.0,0.2575023436546326,0,,0
der_seq-cifar100_4,6,1,1.3,0.1848943591117859,5,0.01,10
der_seq-cifar100_4,6,2,0.0,0.17409078645706177,5,0.01,20
der_seq-cifar100_4,6,5,4.3,0.1343548090457916,5,0.01,64
der_seq-cifar100_4,6,10,20.1,0.09131515765190125,5,0.01,128
der_seq-cifar100_4,7,0,0.0,0.257926914691925,0,,0
der_seq-cifar100_4,7,1,0.2,0.18576879262924195,5,0.01,10
der_seq-cifar100_4,7,2,0.0,0.18371835803985595,5,0.01,20
der_seq-cifar100_4,7,5,0.8999999999999999,0.1425421566963196,5,0.01,64
der_seq-cifar100_4,7,10,12.8,0.09985628747940063,5,0.01,128
der_seq-cifar100_4,8,0,0.0,0.25740532064437865,0,,0
der_seq-cifar100_4,8,1,0.1,0.1912085485458374,5,0.01,10
der_seq-cifar100_4,8,2,0.1,0.18706868362426757,5,0.01,20
der_seq-cifar100_4,8,5,4.0,0.13442136907577515,5,0.01,64
der_seq-cifar100_4,8,10,14.6,0.09345207667350769,5,0.01,128
der_seq-cifar100_4,9,0,0.0,0.270045262336731,0,,0
der_seq-cifar100_4,9,1,2.5,0.183143901348114,5,0.01,10
der_seq-cifar100_4,9,2,0.1,0.1745015902519226,5,0.01,20
der_seq-cifar100_4,9,5,4.5,0.13813696575164794,5,0.01,64
der_seq-cifar100_4,9,10,13.5,0.0938321762084961,5,0.01,128
der_seq-cifar100_5,0,0,75.2,0.08522730803489685,0,,0
der_seq-cifar100_5,0,1,75.5,0.05610666108131409,5,0.01,10
der_seq-cifar100_5,0,2,77.10000000000001,0.04769712507724762,5,0.01,20
der_seq-cifar100_5,0,5,79.60000000000001,0.02949290347099304,5,0.01,64
der_seq-cifar100_5,0,10,78.4,0.024130828231573104,5,0.01,128
der_seq-cifar100_5,1,0,53.400000000000006,0.09787060713768006,0,,0
der_seq-cifar100_5,1,1,63.5,0.06504873514175415,5,0.01,10
der_seq-cifar100_5,1,2,67.10000000000001,0.054514015078544614,5,0.01,20
der_seq-cifar100_5,1,5,73.2,0.037808688879013064,5,0.01,64
der_seq-cifar100_5,1,10,61.4,0.06698888683319092,5,0.01,128
der_seq-cifar100_5,2,0,61.9,0.0729632340669632,0,,0
der_seq-cifar100_5,2,1,70.7,0.04431361955404282,5,0.01,10
der_seq-cifar100_5,2,2,69.5,0.04495647931098938,5,0.01,20
der_seq-cifar100_5,2,5,71.8,0.041091710925102234,5,0.01,64
der_seq-cifar100_5,2,10,74.4,0.03581133645772934,5,0.01,128
der_seq-cifar100_5,3,0,55.1,0.08801533687114715,0,,0
der_seq-cifar100_5,3,1,66.5,0.04775941789150238,5,0.01,10
der_seq-cifar100_5,3,2,71.39999999999999,0.04271780526638031,5,0.01,20
der_seq-cifar100_5,3,5,76.0,0.033749259382486345,5,0.01,64
